"fit_id","model_id","model_family","quantile_level","qhat","y_reference","q_g_hat","d_g_hat","raw_glofas_quantile","discrepancy_hat","discrepancy_feature_date","prediction_contract","contract_version","forecast_scope","q_g_source","discrepancy_feature_strategy","prediction_unit","posterior_draw_contract","posterior_predictive_sampling","beyond_issued_horizon","origin_date","target_date","horizon","qhat_summary","source_run_id","source_quantile_id","qhat_monotone","qhat_uncalibrated","qhat_monotone_uncalibrated","qhat_calibrated_pre_monotone","spread_calibration_factor","spread_calibration_additive_width","spread_calibration_id"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p05","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.05,0.271933715483642,0.564683774756493,0.271933715483642,,0.271933715483642,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-26,1,"","glofas_calibration_broad_grid_20260619_arch04_a035_p05","p05",0.271933715483642,0.271933715483642,0.271933715483642,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p15","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.15,0.271933715483642,0.564683774756493,0.271933715483642,,0.271933715483642,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-26,1,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15","p15",0.271933715483642,0.271933715483642,0.271933715483642,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p35","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.35,0.271933715483642,0.564683774756493,0.271933715483642,,0.271933715483642,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-26,1,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p35","p35",0.271933715483642,0.271933715483642,0.271933715483642,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p50","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.5,0.271933715483642,0.564683774756493,0.271933715483642,,0.271933715483642,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-26,1,"","glofas_calibration_broad_grid_20260619_arch04_a035_p50","p50",0.271933715483642,0.271933715483642,0.271933715483642,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p65","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.65,0.271933715483642,0.564683774756493,0.271933715483642,,0.271933715483642,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-26,1,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p65","p65",0.271933715483642,0.271933715483642,0.271933715483642,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p80","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.8,0.271933715483642,0.564683774756493,0.271933715483642,,0.271933715483642,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-26,1,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p80","p80",0.271933715483642,0.271933715483642,0.271933715483642,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p95","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.95,0.271933715483642,0.564683774756493,0.271933715483642,,0.271933715483642,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-26,1,"","glofas_calibration_broad_grid_20260619_arch04_a035_p95","p95",0.271933715483642,0.271933715483642,0.271933715483642,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p05","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.05,0.277868451003456,3.15146636258413,0.277868451003456,,0.277868451003456,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-27,2,"","glofas_calibration_broad_grid_20260619_arch04_a035_p05","p05",0.277868451003456,0.277868451003456,0.277868451003456,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p15","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.15,0.277868451003456,3.15146636258413,0.277868451003456,,0.277868451003456,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-27,2,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15","p15",0.277868451003456,0.277868451003456,0.277868451003456,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p35","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.35,0.283768173130645,3.15146636258413,0.283768173130645,,0.283768173130645,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-27,2,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p35","p35",0.283768173130645,0.283768173130645,0.283768173130645,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p50","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.5,0.283768173130645,3.15146636258413,0.283768173130645,,0.283768173130645,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-27,2,"","glofas_calibration_broad_grid_20260619_arch04_a035_p50","p50",0.283768173130645,0.283768173130645,0.283768173130645,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p65","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.65,0.286700732856844,3.15146636258413,0.286700732856844,,0.286700732856844,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-27,2,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p65","p65",0.286700732856844,0.286700732856844,0.286700732856844,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p80","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.8,0.329753286372468,3.15146636258413,0.329753286372468,,0.329753286372468,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-27,2,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p80","p80",0.329753286372468,0.329753286372468,0.329753286372468,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p95","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.95,0.641767313581061,3.15146636258413,0.641767313581061,,0.641767313581061,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-27,2,"","glofas_calibration_broad_grid_20260619_arch04_a035_p95","p95",0.641767313581061,0.641767313581061,0.641767313581061,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p05","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.05,0.83646532994508,2.22662362649429,0.83646532994508,,0.83646532994508,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-28,3,"","glofas_calibration_broad_grid_20260619_arch04_a035_p05","p05",0.83646532994508,0.83646532994508,0.83646532994508,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p15","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.15,0.959070388945095,2.22662362649429,0.959070388945095,,0.959070388945095,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-28,3,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15","p15",0.959070388945095,0.959070388945095,0.959070388945095,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p35","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.35,1.04923507957231,2.22662362649429,1.04923507957231,,1.04923507957231,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-28,3,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p35","p35",1.04923507957231,1.04923507957231,1.04923507957231,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p50","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.5,1.1268555009815,2.22662362649429,1.1268555009815,,1.1268555009815,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-28,3,"","glofas_calibration_broad_grid_20260619_arch04_a035_p50","p50",1.1268555009815,1.1268555009815,1.1268555009815,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p65","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.65,1.22079920556516,2.22662362649429,1.22079920556516,,1.22079920556516,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-28,3,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p65","p65",1.22079920556516,1.22079920556516,1.22079920556516,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p80","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.8,1.3028278300968,2.22662362649429,1.3028278300968,,1.3028278300968,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-28,3,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p80","p80",1.3028278300968,1.3028278300968,1.3028278300968,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p95","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.95,1.51312766088714,2.22662362649429,1.51312766088714,,1.51312766088714,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-28,3,"","glofas_calibration_broad_grid_20260619_arch04_a035_p95","p95",1.51312766088714,1.51312766088714,1.51312766088714,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p05","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.05,0.927167655587876,1.7553629240914,0.927167655587876,,0.927167655587876,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-29,4,"","glofas_calibration_broad_grid_20260619_arch04_a035_p05","p05",0.927167655587876,0.927167655587876,0.927167655587876,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p15","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.15,0.994408511138107,1.7553629240914,0.994408511138107,,0.994408511138107,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-29,4,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15","p15",0.994408511138107,0.994408511138107,0.994408511138107,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p35","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.35,1.09338691823406,1.7553629240914,1.09338691823406,,1.09338691823406,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-29,4,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p35","p35",1.09338691823406,1.09338691823406,1.09338691823406,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p50","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.5,1.1738357099057,1.7553629240914,1.1738357099057,,1.1738357099057,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-29,4,"","glofas_calibration_broad_grid_20260619_arch04_a035_p50","p50",1.1738357099057,1.1738357099057,1.1738357099057,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p65","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.65,1.26602811951966,1.7553629240914,1.26602811951966,,1.26602811951966,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-29,4,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p65","p65",1.26602811951966,1.26602811951966,1.26602811951966,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p80","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.8,1.39794497833987,1.7553629240914,1.39794497833987,,1.39794497833987,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-29,4,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p80","p80",1.39794497833987,1.39794497833987,1.39794497833987,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p95","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.95,1.54995705816708,1.7553629240914,1.54995705816708,,1.54995705816708,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-29,4,"","glofas_calibration_broad_grid_20260619_arch04_a035_p95","p95",1.54995705816708,1.54995705816708,1.54995705816708,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p05","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.05,1.02132780309448,2.74437307549665,1.02132780309448,,1.02132780309448,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-30,5,"","glofas_calibration_broad_grid_20260619_arch04_a035_p05","p05",1.02132780309448,1.02132780309448,1.02132780309448,,,,
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p15","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.15,1.15923390682308,2.74437307549665,1.15923390682308,,1.15923390682308,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-30,5,"","glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15","p15",1.15923390682308,1.15923390682308,1.15923390682308,,,,
